student_id,gender,study_hours_per_day,social_media_hours,mental_health_rating
100146,Female,4.4,4.0,4.5
100147,Other,4.9,0.5,2.4
100148,Female,5.8,4.7,10.0
100149,Male,5.7,0.3,6.4
100150,Male,5.1,3.1,6.1
100151,Other,3.2,4.7,8.7
100152,Other,3.2,1.9,6.6
100153,Other,4.4,1.3,8.5
100154,Female,4.7,1.5,6.0
100155,Other,7.1,0.9,7.2
100156,Other,7.0,4.2,10.0
100157,Other,2.5,0.7,4.9
100158,Other,1.5,0.4,7.1
100159,Other,5.0,3.8,8.3
100160,Female,6.8,1.1,1.1
100161,Other,5.557521811131731,3.0,7.4
100162,Other,2.8,1.7,6.1
100163,Female,4.6501850186700535,0.8,6.3
100164,Male,9.3,1.6,9.0
100165,Female,5.6,1.3,10.0
100166,Female,6.203417066424679,1.7,5.5
100167,Other,2.1,1.4,6.8
100168,Male,5.0,4.4,6.1
100169,Other,2.6,1.9,6.3
100170,Female,3.9,4.2,7.3
100171,Other,7.842455117113548,0.9,7.1
100172,Female,0.9,1.6,7.6
100173,Other,2.2,1.5,7.7
100174,Male,6.0,3.3,10.0
100175,Male,4.1,1.3,7.7
100176,Other,1.8,2.6,3.0
100177,Other,1.0,3.3,9.2
100178,Other,6.1,2.0,10.0
100179,Other,2.8,1.9,3.3
100180,Other,3.3,4.7,6.5
100181,Female,2.3,1.6,5.5
100182,Male,3.1,4.3,4.3
100183,Female,2.930684991065026,2.0,8.1
100184,Other,0.9,0.4,7.4
100185,Other,3.2,0.4,9.5
100186,Female,1.4,1.1,6.2
100187,Female,3.9,1.2,8.3
100188,Female,4.5,0.3,4.5
100189,Male,3.4,1.7,7.9
100190,Male,6.1,0.9,7.5
100191,Other,0.4577148254524192,0.1,4.9
100192,Female,4.6,3.2,4.3
100193,Other,5.0,1.3,7.199999999999999
100194,Male,3.4,0.7,8.0
100195,Other,4.1,1.5,5.9
100196,Female,5.6,1.2,7.800000000000001
100197,Male,3.1,0.1,9.2
100198,Female,6.7,0.3,1.0
100199,Other,1.5362152466406167,0.8,3.5
100200,Female,1.3,3.4,4.1
100201,Other,1.7,1.3,9.3
100202,Male,5.038026062443537,1.9,6.8
100203,Other,4.2,0.5,4.3
100204,Female,5.316933325423417,2.6,10.0
100205,Other,1.9,0.8,5.5
100206,Other,6.1,2.0,6.4
100207,Other,4.9,4.4,5.5
100208,Other,6.979792502650184,2.2,10.0
100209,Other,4.0,0.5,3.3
100210,Male,1.6,1.2,4.3
100211,Female,5.3,3.4,7.3
100212,Male,3.9,3.5,8.2
100213,Other,6.4,3.5,8.8
100214,Male,10.275878278999722,0.3,8.2
100215,Other,8.3,1.6,6.8
100216,Female,7.172896035120191,4.8,5.3
100217,Male,3.2,1.9,8.9
100218,Female,4.4,4.1,7.5
100219,Male,4.8,4.6,8.0
100220,Male,2.7,3.6,6.9
100221,Male,5.6,3.7,7.9
100222,Female,6.4,1.2,8.4
100223,Male,4.0,0.2,7.800000000000001
100224,Other,2.2,4.9,6.9
100225,Male,0.5,3.7,9.1
100226,Other,1.9,4.8,7.199999999999999
100227,Male,2.6,4.4,6.2
100228,Female,5.4,4.1,6.0
100229,Other,3.6,3.6,10.0
100230,Male,3.1,0.6,8.0
100231,Male,5.5,3.4,4.9
100232,Other,2.3102159020788484,2.3,4.1
100233,Female,3.3,1.5,8.9
100234,Female,2.1,2.8,5.4
100235,Other,3.1056616819017884,4.4,8.2
100236,Female,5.0,3.5,6.8
100237,Male,7.2,2.4,6.3
100238,Female,4.2,2.1,8.0
100239,Other,6.978527133247132,2.3,6.3
100240,Male,2.8,0.4,7.5
100241,Male,9.2,3.0,6.5
100242,Male,8.3,1.2,10.0
100243,Female,3.9,2.3,8.9
100244,Other,6.7,0.3,9.1
100245,Female,2.9,3.9,2.3
100246,Female,3.3,2.2,6.6
100247,Other,1.3,4.1,8.6
100248,Other,4.1,1.0,9.0
100249,Other,2.5,4.8,6.9
100250,Other,2.7,4.6,8.8
100251,Female,6.1,3.4,7.4
100252,Other,7.1,3.1,5.6
100253,Other,5.0,4.8,5.2
100254,Male,6.4,2.5,10.0
100255,Male,3.5,1.6,8.4
100256,Male,2.5,1.0,9.5
100257,Female,5.4,5.0,3.9
100258,Male,5.697999203595827,2.5,9.3
100259,Other,5.464295787393317,3.2,3.5
100260,Male,3.4,1.8,4.8
100261,Other,1.7,4.1,8.6
100262,Male,1.2,1.5,6.3
100263,Other,6.4,0.9,8.7
100264,Other,6.6,2.2,3.6
100265,Female,1.7,3.2,6.0
100266,Male,2.3,1.1,4.8
100267,Male,3.6,4.9,10.0
100268,Male,4.0,2.0,6.6
100269,Female,3.6,4.2,3.8
100270,Female,4.4,1.6,9.6
100271,Male,2.8,0.5,6.4
100272,Other,5.9,2.4,3.1
100273,Other,1.0,0.6,7.0
100274,Male,8.741844979505059,4.7,6.5
100275,Other,4.934742153844404,4.9,8.1
100276,Female,3.7,4.2,6.8
100277,Other,4.625290315541831,4.9,7.5
100278,Female,5.2,2.5,9.5
100279,Male,1.6,2.7,7.5
100280,Other,3.2,3.8,6.4
100281,Male,2.225153000215117,1.9,2.0
100282,Other,6.2,0.1,7.0
100283,Male,3.2,4.0,10.0
100284,Other,2.4,3.8,4.1
100285,Male,6.8,3.2,4.1
100286,Female,3.9,3.9,6.6
100287,Male,2.6,3.9,4.3
100288,Male,1.0,0.6,9.4
100289,Male,5.8,4.1,5.2
100290,Other,2.0,4.2,5.9
100291,Male,4.5,2.9,5.4
100292,Female,8.3,3.2,2.7
100293,Other,5.646052326723462,4.1,7.9
100294,Other,0.0,4.9,4.3
100295,Other,7.0,0.7,6.6
100296,Male,5.3,4.1,6.0
100297,Female,0.0,2.8,5.6
100298,Other,5.5,1.4,8.5
100299,Other,9.697033463188696,0.6,5.6
100300,Male,4.0,0.6,8.9
100301,Other,5.1,0.5,8.3
100302,Male,4.8,0.2,7.4
100303,Male,3.2,2.3,8.4
100304,Other,3.70509159765229,3.3,7.4
100305,Male,7.23858253502037,0.4,8.9
100306,Male,3.8,2.8,7.4
100307,Female,2.9,3.6,6.0
100308,Other,4.0,0.6,3.4
100309,Male,3.3,1.1,7.6
100310,Female,2.6109857705357555,0.8,4.0
100311,Female,3.6,3.1,4.1
100312,Male,5.2,0.3,7.5
100313,Male,2.0,2.2,5.2
100314,Female,2.8,3.9,9.1
100315,Female,2.2,2.9,7.3
100316,Male,1.4,2.6,6.6
100317,Other,3.9,1.8,8.8
100318,Male,5.3,0.0,6.8
100319,Female,2.9,1.2,8.5
100320,Other,2.7,4.8,6.6
100321,Other,2.4,0.9,4.5
100322,Female,3.049357055985044,1.3,7.9
100323,Male,0.0,3.9,4.8
100324,Female,3.3,0.4,7.9
100325,Male,0.0,3.4,10.0
100326,Male,2.7,0.1,4.3
100327,Other,1.9,2.8,5.3
100328,Other,2.7,4.3,9.3
100329,Female,6.6,5.0,6.2
100330,Female,5.1,1.2,9.3
100331,Male,5.05220314335016,4.2,5.2
100332,Male,3.4,3.9,6.8
100333,Other,3.3,1.8,4.5
100334,Other,3.6,4.4,7.5
100335,Female,4.785686392431772,3.8,3.6
100336,Male,4.809487770291792,3.3,8.3
100337,Male,7.4,4.4,5.0
100338,Female,1.5,4.0,3.0
100339,Male,2.2,2.3,10.0
100340,Other,4.5,1.0,5.5
100341,Female,4.5,1.0,7.1
100342,Female,4.9,2.1,6.8
100343,Male,2.0,4.5,6.7
100344,Other,2.891105273045864,4.9,5.1
100345,Male,0.5,3.0,4.6
100346,Male,2.2,4.7,3.4
100347,Male,4.2,0.1,9.4
100348,Female,6.270589095640896,0.1,10.0
100349,Male,4.2,3.9,4.3
100350,Other,2.8,3.1,10.0
100351,Male,1.1,2.5,6.2
100352,Other,0.8,1.5,5.5
100353,Other,4.5,4.1,7.5
100354,Male,4.9,2.7,6.5
100355,Other,2.4,2.1,7.5
100356,Female,3.4,0.7,9.0
100357,Male,4.4,3.9,6.7
100358,Other,4.9,2.9,7.7
100359,Other,1.7,1.7,8.6
100360,Male,6.0,2.3,10.0
100361,Female,6.3851943528116095,3.8,5.9
100362,Female,5.9,3.3,5.8
100363,Female,7.5,0.1,7.5
100364,Male,3.1,2.7,7.8
100365,Male,0.0,0.6,6.5
100366,Male,6.8,4.7,10.0
100367,Female,1.8,0.7,6.6
100368,Female,5.8,4.1,10.0
100369,Other,3.8,4.6,7.7
100370,Male,4.6,3.9,8.2
100371,Other,4.1,3.4,10.0
100372,Male,3.9,0.9,10.0
100373,Other,6.0,0.0,9.5
100374,Female,8.6,4.5,4.6
100375,Female,3.7,2.7,7.7
100376,Male,6.1,0.1,6.1
100377,Male,6.306549553489886,4.1,6.6
100378,Male,3.9,3.6,7.7
100379,Other,5.6,0.4,5.9
100380,Other,6.1,2.7,6.1
100381,Female,6.3,1.5,4.3
100382,Female,5.0,1.8,9.1
100383,Female,4.6,1.8,9.2
100384,Male,0.0,4.2,4.9
100385,Female,4.0,2.6,7.2
100386,Other,3.8,0.7,8.0
100387,Female,5.0,0.0,9.3
100388,Male,4.4,1.9,3.0
100389,Other,3.9,1.0,7.1
100390,Male,2.4,4.9,8.9
100391,Other,3.9,1.1,7.2
100392,Other,5.3,4.9,3.2
100393,Other,4.8,4.3,6.3
100394,Other,3.5,0.7,8.2
100395,Male,4.9,3.7,6.3
100396,Other,0.8418350264520229,4.6,9.2
100397,Male,3.0,2.7,6.5
100398,Male,2.076339246917009,4.1,8.1
100399,Other,1.5,2.7,5.1
100400,Male,7.871819601441486,4.6,6.0
100401,Male,7.8,2.1,6.1
100402,Male,2.3,2.8,4.7
100403,Female,1.6,0.8,3.0
100404,Female,6.6,2.8,4.6
100405,Male,4.6,4.3,7.3
100406,Female,6.7,4.8,6.5
100407,Female,3.5,4.9,2.8
100408,Male,2.1,4.4,8.1
100409,Female,0.4,0.5,9.8
100410,Female,4.6,4.9,4.9
100411,Male,2.714104903263184,4.5,3.4
100412,Other,2.6,1.6,8.0
100413,Male,6.1,2.7,5.5
100414,Female,6.0,1.9,3.4000000000000004
100415,Other,2.032635537294374,1.4,6.2
100416,Female,5.7,0.1,8.7
100417,Male,4.8,3.6,8.7
100418,Other,3.4,3.2,6.2
100419,Other,5.0,0.9,4.5
100420,Other,2.5,4.3,6.0
100421,Other,5.1,0.4,9.9
100422,Female,4.7,0.8,3.1
100423,Male,0.7,4.8,6.4
100424,Male,5.2,2.8,7.0
100425,Male,6.701430679312905,3.0,9.6
100426,Female,3.7,3.8,5.8
100427,Male,4.388016720050273,3.6,9.6
100428,Female,3.5,2.9,3.8
100429,Female,8.7,0.3,5.3
100430,Male,4.6,0.8,7.0
100431,Female,3.1337395046141525,2.2,6.2
100432,Male,6.1,1.2,10.0
100433,Male,4.387344412000145,4.5,5.0
100434,Male,5.403892617942292,1.7,5.9
100435,Other,5.9,0.2,10.0
100436,Female,3.8,2.6,10.0
100437,Other,4.1,0.2,7.3
100438,Other,3.3,1.1,2.4
100439,Other,4.5,1.5,7.7
100440,Female,4.1,1.5,5.8
100441,Male,6.381467900355108,1.7,8.3
100442,Female,3.2,0.5,6.6
100443,Other,6.1,1.2,6.6
100444,Female,3.7,1.5,9.4
100445,Female,2.6,2.3,3.4
100446,Other,4.5,0.5,8.4
100447,Male,2.7,1.9,5.1
100448,Other,5.764491157769897,1.7,6.5
100449,Other,5.1,3.0,7.9
100450,Female,5.8,1.3,4.5
100451,Other,4.5,2.5,9.1
100452,Other,3.2,0.6,4.8
100453,Male,3.3141258832042477,3.0,10.0
100454,Male,5.4,2.7,5.2
100455,Male,4.4,0.1,10.0
100456,Female,4.4,4.6,8.6
100457,Female,0.0,1.2,6.4
100458,Other,5.2,0.1,8.4
100459,Female,5.8,3.3,10.0
100460,Female,3.0,0.4,10.0
100461,Female,8.0,0.1,5.6
100462,Other,1.9,1.3,7.3
100463,Male,4.3,4.1,8.3
100464,Female,5.0,1.3,10.0
100465,Female,1.7,5.0,7.6
100466,Male,1.8,2.9,5.8
100467,Male,5.3,1.7,6.4
100468,Male,4.347879773163536,2.1,4.8
100469,Male,2.9,3.7,4.5
100470,Male,6.1,3.7,8.6
100471,Other,3.3,1.5,7.9
100472,Female,6.8,1.7,8.3
100473,Other,2.6,0.3,9.1
100474,Other,5.310463392452133,2.7,5.2
100475,Other,4.772411634684131,1.2,6.5
100476,Male,4.3740497399785045,1.0,5.3
100477,Female,4.3,2.4,2.3
100478,Female,3.3,0.8,7.1
100479,Other,4.2,2.6,5.3
100480,Female,3.2,4.0,10.0
100481,Female,6.394714567520527,3.1,7.5
100482,Other,4.3,2.8,5.8
100483,Male,2.1,0.3,10.0
100484,Other,3.088965055723034,3.4,7.7
100485,Male,3.7,1.8,8.4
100486,Other,2.1,3.6,9.9
100487,Other,3.7,0.1,3.2
100488,Female,2.6,3.5,3.9
100489,Female,4.0,0.3,6.0
100490,Other,2.1,1.1,5.2
100491,Male,2.9,3.3,5.5
100492,Female,2.1,2.0,6.9
100493,Female,8.7,1.0,5.8
100494,Male,4.1,0.5,8.0
100495,Male,7.0,3.7,4.4
100496,Other,4.5,2.2,5.9
100497,Other,5.6,3.4,4.7
100498,Other,4.2,4.7,4.0
100499,Female,6.935982699957602,3.0,2.0
100500,Male,6.7,3.6,6.2
100501,Male,2.8,4.7,5.6
100502,Male,4.5,1.1,6.6
100503,Male,1.6,2.9,8.1
100504,Male,1.8,1.2,10.0
100505,Other,2.1,4.3,3.2
100506,Other,5.4,3.0,3.7
100507,Other,4.9,4.7,5.6
100508,Other,4.732322568312464,3.4,6.1
100509,Female,4.2,4.2,8.4
100510,Other,0.7,3.5,9.5
100511,Other,3.5,3.2,5.3
100512,Other,5.2,0.9,9.0
100513,Other,1.5074165021419357,1.4,7.0
100514,Male,5.803133587036647,2.6,3.4
100515,Other,3.6,3.2,9.9
100516,Female,0.0,4.7,5.8
100517,Male,5.3847463198010725,4.6,4.0
100518,Other,5.1,1.8,5.3
100519,Male,2.2,2.8,6.7
100520,Other,6.3,1.4,8.4
100521,Female,4.1,3.9,5.7
100522,Female,2.2,0.2,8.0
100523,Other,3.773083562903965,3.4,1.4
100524,Other,6.3,2.9,3.1
100525,Other,7.2,3.3,7.9
100526,Male,4.5,4.1,8.6
100527,Other,7.6,2.0,8.4
100528,Male,2.9,0.3,5.7
100529,Male,2.42191356957758,0.1,8.1
100530,Male,8.936727200749635,0.7,7.7
100531,Male,4.8,2.0,5.7
100532,Female,4.3,3.2,7.5
100533,Male,1.8,3.9,9.0
100534,Other,0.0,4.8,6.8
100535,Male,5.4,3.1,5.7
100536,Female,4.0,1.6,10.0
100537,Female,4.77231731974964,1.0,7.2
100538,Other,0.9,0.6,7.4
100539,Male,1.9,4.2,8.0
100540,Other,5.5,0.5,9.2
100541,Female,2.8,1.5,8.1
100542,Male,5.1,3.1,4.8
100543,Female,5.3,1.6,7.3
100544,Female,5.8,4.4,6.7
100545,Male,4.0,3.1,6.9
100546,Female,4.0,0.6,5.5
100547,Other,1.6,0.3,6.3
100548,Male,0.3,4.7,8.1
100549,Other,6.9,1.7,2.9
100550,Male,6.8,1.7,6.4
100551,Male,3.1,1.1,6.9
100552,Male,0.0,2.5,1.3
100553,Female,5.6,3.5,7.4
100554,Male,1.7,1.6,10.0
100555,Other,5.925394255549947,4.4,6.6
100556,Male,5.2,4.5,5.0
100557,Other,7.7,1.9,7.5
100558,Female,4.08480678451255,1.4,8.1
100559,Male,3.4383463318851497,2.2,7.5
100560,Male,4.5,3.3,5.3
100561,Other,4.6,1.2,7.8
100562,Female,4.0,3.2,9.5
100563,Female,6.0,1.0,1.5
100564,Male,6.3,1.9,8.9
100565,Male,7.0,3.8,7.2
100566,Male,5.013011855688407,4.2,6.1
100567,Female,8.1,0.5,4.1
100568,Other,5.1,2.0,5.5
100569,Male,5.4,1.5,6.8
100570,Female,2.5,1.7,6.9
100571,Male,4.1,0.3,6.8
100572,Other,6.318254401917695,0.5,3.3
100573,Female,4.6,0.7,5.7
100574,Female,8.2,3.4,4.3
100575,Female,1.7,1.9,6.7
100576,Male,1.0,0.7,8.0
100577,Male,3.6,4.7,7.0
100578,Male,4.8,1.4,5.8
100579,Female,4.5,4.6,8.0
100580,Other,4.4,0.7,7.3
100581,Other,5.8,2.5,8.0
100582,Male,3.5,2.3,7.4
100583,Female,4.0,2.6,5.9
100584,Male,5.9,3.9,6.4
100585,Female,3.455963076906879,3.4,5.5
100586,Female,4.1,3.1,7.9
100587,Male,3.3,4.7,10.0
100588,Male,2.6,4.9,5.6
100589,Female,4.3,2.1,4.1
100590,Male,4.4,2.9,5.6
100591,Male,0.4,0.1,4.9
100592,Female,5.5,1.9,3.2
100593,Other,4.1,0.8,9.7
100594,Other,5.334899734625071,0.6,4.8
100595,Other,3.4,3.8,8.8
100596,Female,2.8,3.1,7.0
100597,Other,7.3,0.4,4.7
100598,Other,6.8,3.9,7.3
100599,Male,6.799123080686823,2.4,5.9
100600,Male,4.6,3.5,7.3
100601,Male,6.045918892125166,2.8,6.6
100602,Male,8.80122529129357,0.9,5.8
100603,Male,6.0,4.4,8.9
100604,Male,4.7,0.4,8.8
100605,Female,2.2,2.6,5.0
100606,Male,2.2,4.5,8.1
100607,Other,4.1,1.4,10.0
100608,Other,2.4,0.5,7.5
100609,Other,2.5,1.4,4.5
100610,Other,5.1,2.0,4.1
100611,Male,4.0,3.8,8.2
100612,Other,3.2,1.2,8.0
100613,Male,4.0,1.8,8.0
100614,Other,6.0,1.5,5.1
100615,Male,3.6,2.7,8.4
100616,Male,6.4,2.9,8.1
100617,Female,0.6,2.0,8.5
100618,Female,4.0,3.9,7.3
100619,Female,8.0,4.6,9.0
100620,Female,5.9,1.3,5.2
100621,Female,2.5,3.7,9.9
100622,Male,5.0,2.4,10.0
100623,Other,4.3,4.1,6.7
100624,Male,3.9,1.7,7.1
100625,Female,3.649450060986812,1.4,7.5
100626,Other,5.6,4.2,7.199999999999999
100627,Male,3.0,0.4,3.9
100628,Male,1.9,2.1,2.7
100629,Male,4.2,2.0,7.4
100630,Female,5.4,4.1,8.1
100631,Other,4.3,1.8,8.2
100632,Other,2.6,5.0,7.6
100633,Female,3.8,0.2,7.7
100634,Female,2.3,2.7,6.5
100635,Female,4.2,5.0,8.8
100636,Other,4.5,1.9,2.4
100637,Male,5.4,2.4,9.6
100638,Male,4.8151701752991,2.3,6.8
100639,Female,4.553036760394782,1.7,7.1
100640,Other,4.2,0.6,6.1
100641,Male,2.4,0.7,4.5
100642,Other,3.7,4.8,4.3
100643,Male,1.8,1.3,4.7
100644,Male,3.9,3.4,8.7
100645,Male,1.9,0.7,4.6
100646,Female,5.0,2.1,4.6
100647,Male,0.0,3.6,4.7
100648,Male,2.6,2.8,5.9
100649,Male,4.1,2.5,5.8
100650,Other,4.3,2.9,4.4
100651,Other,5.9,1.1,5.6
100652,Male,5.5,3.3,9.4
100653,Female,4.908439724405247,1.1,5.6
100654,Female,2.2,4.6,9.7
100655,Male,2.3,2.7,7.1
100656,Other,3.4,0.1,6.7
100657,Other,2.9,4.0,3.5
100658,Other,4.699211648470559,0.0,5.0
100659,Female,3.5,2.9,6.0
100660,Other,5.5,4.3,4.1
100661,Other,7.919074684961908,1.5,10.0
100662,Female,3.850292967063672,3.8,2.5
100663,Female,1.8,0.9,6.2
100664,Female,4.2,0.5,6.5
100665,Other,4.7,3.8,9.3
100666,Male,5.9,4.6,7.8
100667,Female,6.0,2.9,5.2
100668,Male,5.4,0.2,7.5
100669,Other,8.4,4.4,7.9
100670,Male,2.7,2.9,6.1
100671,Male,1.1,2.8,8.9
100672,Male,4.1,5.0,4.9
100673,Other,4.6,3.2,10.0
100674,Male,2.0,0.6,10.0
100675,Other,8.0,0.6,5.3
100676,Other,6.3,2.1,6.0
100677,Other,4.0,3.3,6.2
100678,Male,0.9,1.6,6.6
100679,Female,7.9,3.6,5.9
100680,Female,5.837241689359141,4.8,8.2
100681,Male,5.013294428434552,3.3,4.1
100682,Female,3.0529001223780776,2.3,6.4
100683,Male,5.9,2.9,5.2
100684,Other,4.9,2.4,9.1
100685,Male,2.7,0.1,7.6
100686,Other,2.2,3.9,8.6
100687,Other,2.0,0.3,5.2
100688,Female,3.4,3.1,8.7
100689,Female,2.0,0.9,4.6
100690,Female,5.0,2.3,3.0
100691,Other,2.8866017917770166,3.8,2.5
100692,Other,0.7,2.4,7.4
100693,Other,6.3,3.5,3.0
100694,Male,3.3,0.5,6.6
100695,Female,5.9,1.2,5.9
100696,Female,3.0,3.7,7.6
100697,Other,7.5,1.9,1.0
100698,Other,3.5,3.1,4.8
100699,Female,0.4,0.9,4.3
100700,Male,4.7,1.7,9.1
100701,Other,5.7,3.1,6.9
100702,Male,4.555396085847574,4.8,8.7
100703,Male,3.1,4.8,6.6
100704,Male,5.193271904042562,3.0,7.2
100705,Male,6.2,3.8,6.5
100706,Other,2.7,3.2,5.6
100707,Male,7.1,3.3,10.0
100708,Other,5.1,0.8,6.5
100709,Male,3.5,4.6,5.3
100710,Male,5.3,3.9,6.6
100711,Other,3.4,1.7,5.3
100712,Male,5.5,0.3,3.9
100713,Female,1.9,0.8,8.4
100714,Other,6.0,3.4,8.1
100715,Other,6.012572730733777,1.1,5.4
100716,Other,2.601666444886498,0.3,7.2
100717,Male,2.1,1.3,6.1
100718,Male,4.757580888121,1.3,6.5
100719,Other,5.5,5.0,5.1
100720,Male,2.4,2.1,3.1
100721,Other,2.9,0.8,8.1
100722,Other,3.7715624653768183,3.0,6.4
100723,Male,4.1,4.4,6.2
100724,Female,2.4,2.0,7.4
100725,Other,3.6,4.0,7.9
100726,Male,6.8,1.4,8.2
100727,Female,5.106630957687029,2.7,6.0
100728,Other,3.6,4.1,4.2
100729,Male,3.2,1.7,9.3
100730,Other,0.8,4.5,9.2
100731,Male,4.5,1.1,10.0
100732,Female,0.0,4.0,10.0
100733,Male,3.2,3.5,7.5
100734,Other,3.3,4.5,7.4
100735,Female,4.8,3.0,9.8
100736,Other,5.9,4.3,6.9
100737,Male,4.8,5.0,7.0
100738,Male,2.6,0.7,6.0
100739,Female,4.5,3.4,9.7
100740,Male,9.3,1.4,6.6
100741,Male,4.4,2.4,6.4
100742,Other,4.2,4.3,8.0
100743,Female,4.6,2.7,6.9
100744,Other,5.7,2.9,10.0
100745,Male,3.2,4.9,2.9
