student_id,exam_score,dropout_risk
100261,100,No
100262,79,Yes
100263,82,No
100264,93,No
100265,85,No
100266,95,No
100267,100,No
100268,98,No
100269,100,No
100270,100,No
100271,93,No
100272,74,No
100273,74,No
100274,100,No
100275,98,No
100276,76,No
100277,95,No
100278,82,No
100279,83,No
100280,100,No
100281,86,No
100282,99,No
100283,100,No
100284,92,No
100285,82,No
100286,100,No
100287,71,No
100288,98,No
100289,84,No
100290,93,No
100291,100,Yes
100292,87,No
100293,77,No
100294,90,No
100295,82,No
100296,87,No
100297,97,No
100298,98,No
100299,92,No
100300,93,No
100301,100,No
100302,87,No
100303,100,No
100304,76,No
100305,91,No
100306,93,No
100307,98,No
100308,93,No
100309,98,No
100310,93,No
100311,95,No
100312,100,No
100313,74,No
100314,82,No
100315,52,No
100316,94,No
100317,67,No
100318,100,No
100319,96,No
100320,85,No
100321,69,No
100322,100,No
100323,94,No
100324,79,No
100325,100,No
100326,67,No
100327,83,No
100328,84,No
100329,86,No
100330,95,No
100331,91,No
100332,78,No
100333,100,No
100334,63,No
100335,90,No
100336,96,No
100337,99,No
100338,77,No
100339,77,No
100340,74,No
100341,100,No
100342,96,No
100343,63,No
100344,100,No
100345,91,No
100346,98,No
100347,100,No
100348,91,No
100349,77,No
100350,82,No
100351,54,Yes
100352,93,No
100353,73,No
100354,84,No
100355,79,No
100356,79,No
100357,68,No
100358,76,No
100359,87,No
100360,100,No
100361,100,No
100362,89,No
100363,98,No
100364,97,No
100365,89,No
100366,100,No
100367,84,No
100368,97,No
100369,94,No
100370,98,No
100371,80,No
100372,85,No
100373,94,No
100374,100,No
100375,95,No
100376,66,No
100377,100,No
100378,80,No
100379,94,No
100380,100,No
100381,67,No
100382,85,No
100383,97,No
100384,96,No
100385,82,No
100386,100,No
100387,80,No
100388,94,No
100389,90,No
100390,80,No
100391,66,No
100392,98,No
100393,100,No
100394,97,No
100395,99,No
100396,69,No
100397,98,No
100398,100,No
100399,77,No
100400,100,No
100401,90,No
100402,83,No
100403,56,No
100404,99,No
100405,93,No
100406,100,No
100407,79,No
100408,100,No
100409,92,No
100410,88,No
100411,100,No
100412,85,No
100413,99,No
100414,98,No
100415,100,No
100416,97,No
100417,100,No
100418,86,No
100419,100,No
100420,94,No
100421,96,No
100422,87,No
100423,46,No
100424,82,No
100425,100,No
100426,96,No
100427,74,No
100428,84,No
100429,100,No
100430,100,No
100431,100,No
100432,96,No
100433,93,No
100434,79,No
100435,100,No
100436,97,No
100437,97,No
100438,99,No
100439,98,No
100440,93,No
100441,100,No
100442,98,No
100443,100,No
100444,95,No
100445,76,No
100446,84,No
100447,75,No
100448,94,No
100449,100,No
100450,91,No
100451,99,No
100452,94,No
100453,96,No
100454,88,No
100455,78,No
100456,88,No
100457,93,No
100458,96,No
100459,100,No
100460,100,No
100461,95,No
100462,88,No
100463,83,No
100464,100,No
100465,89,No
100466,90,No
100467,61,No
100468,100,No
100469,100,No
100470,100,No
100471,97,No
100472,98,No
100473,67,No
100474,75,No
100475,72,No
100476,86,No
100477,58,No
100478,100,No
100479,95,No
100480,91,No
100481,100,No
100482,96,No
100483,94,No
100484,93,No
100485,100,No
100486,100,No
100487,95,No
100488,100,No
100489,75,No
100490,75,No
100491,100,No
100492,78,No
100493,80,No
100494,100,No
100495,94,No
100496,100,No
100497,100,No
100498,86,No
100499,100,No
100500,100,No
100501,60,No
100502,100,No
100503,65,No
100504,77,No
100505,99,No
100506,100,No
100507,98,No
100508,90,No
100509,98,No
100510,79,No
100511,100,No
100512,100,No
100513,65,No
100514,94,No
100515,87,No
100516,88,No
100517,93,No
100518,100,No
100519,100,No
100520,100,No
100521,82,No
100522,100,No
100523,84,No
100524,95,No
100525,92,No
100526,76,No
100527,100,No
100528,79,No
100529,85,No
100530,99,No
100531,100,No
100532,100,No
100533,100,No
100534,96,No
100535,87,Yes
100536,95,No
100537,93,No
100538,100,No
100539,100,No
100540,84,No
100541,97,No
100542,76,No
100543,100,No
100544,74,No
100545,85,No
100546,98,No
100547,85,No
100548,96,No
100549,97,No
100550,75,No
100551,98,No
100552,70,No
100553,86,No
100554,85,No
100555,85,No
100556,100,No
100557,100,No
100558,87,No
100559,76,No
100560,69,No
100561,100,No
100562,100,No
100563,100,No
100564,86,No
100565,99,No
100566,100,No
100567,96,No
100568,100,No
100569,100,No
100570,64,No
100571,100,No
100572,99,No
100573,100,No
100574,100,No
100575,100,No
100576,69,No
100577,95,No
100578,100,No
100579,74,No
100580,94,No
100581,94,No
100582,98,No
100583,98,Yes
100584,71,No
100585,83,No
100586,65,No
100587,90,No
100588,100,No
100589,100,No
100590,100,No
100591,98,No
100592,96,No
100593,90,No
100594,100,No
100595,73,No
100596,91,No
100597,87,No
100598,95,No
100599,100,No
100600,73,No
100601,91,No
100602,95,No
100603,100,No
100604,100,No
100605,91,No
100606,58,No
100607,100,No
100608,68,No
100609,100,No
100610,95,No
100611,93,No
100612,100,No
100613,76,No
100614,86,No
100615,100,No
100616,63,No
100617,82,No
100618,74,No
100619,84,No
100620,100,No
100621,88,No
100622,97,No
100623,96,No
100624,93,No
100625,87,No
100626,100,No
100627,99,No
100628,54,No
100629,78,No
100630,72,No
100631,93,Yes
100632,98,No
100633,100,No
100634,88,No
100635,76,No
100636,84,No
100637,100,No
100638,71,No
100639,100,No
100640,96,No
100641,86,No
100642,89,No
100643,100,No
100644,75,No
100645,84,No
100646,75,No
100647,99,No
100648,88,No
100649,62,No
100650,69,No
100651,100,No
100652,100,No
100653,100,No
100654,79,No
100655,95,No
100656,100,No
100657,88,No
100658,84,No
100659,100,No
100660,89,No
100661,97,No
100662,94,No
100663,65,No
100664,98,No
100665,98,No
100666,100,No
100667,95,No
100668,92,No
100669,96,No
100670,79,No
100671,85,No
100672,100,No
100673,73,No
100674,97,No
100675,97,No
100676,91,No
100677,100,No
100678,63,No
100679,96,No
100680,98,No
100681,96,No
100682,88,No
100683,86,No
100684,94,No
100685,93,No
100686,96,No
100687,96,No
100688,100,No
100689,70,No
100690,100,No
100691,69,No
100692,98,No
100693,100,No
100694,88,No
100695,100,No
100696,100,No
100697,96,No
100698,80,No
100699,56,No
100700,100,No
100701,98,No
100702,89,No
100703,88,No
100704,98,No
100705,100,No
100706,59,No
100707,97,No
100708,94,No
100709,72,No
100710,65,No
100711,82,No
100712,100,No
100713,100,No
100714,88,No
100715,73,No
100716,64,No
100717,98,No
100718,99,No
100719,100,No
100720,77,No
100721,89,No
100722,92,No
100723,74,No
100724,98,No
100725,82,No
100726,97,No
100727,80,No
100728,85,No
100729,79,No
100730,90,No
100731,98,No
100732,68,No
100733,100,No
100734,69,No
100735,74,No
100736,83,No
100737,93,No
100738,96,No
100739,100,No
100740,94,No
100741,82,No
100742,93,No
100743,95,No
100744,100,No
100745,99,No
100746,96,No
100747,91,No
100748,87,No
100749,87,No
100750,99,No
100751,61,No
100752,75,No
100753,100,No
100754,86,No
100755,69,No
100756,88,No
100757,100,No
100758,69,No
100759,83,No
100760,100,No
100761,100,No
100762,93,No
100763,80,No
100764,96,No
100765,96,No
100766,83,No
100767,97,No
100768,99,No
100769,100,No
100770,100,No
100771,100,No
100772,71,No
100773,100,No
100774,66,No
100775,90,No
100776,100,No
100777,90,No
100778,100,No
100779,96,No
100780,70,No
100781,96,No
100782,88,No
100783,92,No
100784,100,No
100785,59,No
100786,93,No
100787,66,No
100788,86,Yes
100789,100,No
100790,80,No
100791,95,No
100792,94,No
100793,90,No
100794,100,No
100795,92,No
100796,57,No
100797,87,No
100798,67,No
100799,99,No
100800,95,No
100801,90,No
100802,91,No
100803,100,No
100804,95,No
100805,65,No
100806,63,Yes
100807,78,No
100808,93,No
100809,100,No
100810,100,Yes
100811,99,No
100812,100,No
100813,91,No
100814,100,No
100815,92,No
100816,100,No
100817,92,No
100818,59,No
100819,89,No
100820,100,No
100821,91,No
100822,100,No
100823,84,No
100824,72,No
100825,94,No
100826,99,No
100827,98,No
100828,98,No
100829,62,No
100830,100,No
100831,95,No
100832,91,Yes
100833,93,No
100834,65,No
100835,91,No
100836,100,No
100837,100,No
100838,100,No
100839,79,No
100840,91,No
100841,85,No
100842,75,No
100843,92,No
100844,99,No
100845,100,No
100846,90,No
100847,97,No
100848,83,No
100849,83,No
100850,84,No
100851,73,No
100852,89,No
100853,93,No
100854,100,No
100855,86,No
100856,76,No
100857,94,No
100858,59,No
100859,81,No
100860,91,No
100861,99,No
100862,97,Yes
100863,100,No
100864,100,No
100865,87,No
100866,99,No
100867,89,No
100868,97,Yes
100869,72,No
100870,97,No
100871,77,No
100872,83,No
100873,95,No
100874,91,No
100875,100,No
100876,96,No
100877,100,No
100878,100,No
100879,83,No
100880,79,No
100881,96,No
100882,96,No
100883,92,No
100884,90,No
100885,100,No
100886,91,No
100887,95,No
100888,98,No
100889,95,No
100890,99,No
100891,77,No
100892,97,No
100893,100,No
100894,97,No
100895,99,No
100896,85,No
100897,99,No
100898,83,No
100899,100,No
100900,95,No
100901,94,No
100902,100,No
100903,99,No
100904,95,No
100905,97,No
100906,70,No
100907,100,No
100908,78,No
100909,100,No
100910,100,No
100911,90,No
100912,93,No
100913,61,No
100914,94,No
100915,99,No
100916,51,Yes
100917,63,No
100918,93,No
100919,100,No
100920,74,No
100921,94,No
100922,89,No
100923,67,No
100924,94,No
100925,80,No
100926,91,No
100927,95,No
100928,98,No
100929,100,No
100930,68,No
100931,99,No
100932,96,No
100933,98,No
100934,96,No
100935,100,No
100936,98,No
100937,100,No
100938,82,No
100939,77,Yes
100940,60,No
100941,100,No
100942,95,No
100943,99,No
100944,67,No
100945,90,No
100946,100,No
100947,74,No
100948,89,No
100949,97,No
100950,78,No
100951,64,No
100952,81,No
100953,96,No
100954,67,No
100955,100,No
100956,82,No
100957,77,No
100958,88,No
100959,90,No
100960,100,No
100961,97,No
100962,79,No
100963,76,No
100964,98,No
100965,100,No
100966,100,No
100967,91,No
100968,99,No
100969,100,No
100970,95,No
100971,86,No
100972,88,No
100973,95,No
100974,89,No
100975,83,No
100976,100,No
100977,100,No
100978,100,No
100979,74,Yes
100980,99,No
100981,100,No
100982,100,No
100983,100,Yes
100984,88,No
100985,58,No
100986,93,No
100987,100,No
100988,97,No
100989,96,No
100990,94,No
100991,85,No
100992,72,No
100993,80,No
100994,100,No
100995,90,No
100996,100,No
100997,89,No
100998,100,No
100999,99,No
101000,100,No
101001,98,No
101002,93,No
101003,97,No
101004,100,No
101005,84,No
101006,98,No
101007,75,No
101008,72,No
101009,94,No
101010,88,No
101011,93,No
101012,95,No
101013,73,No
101014,96,No
101015,86,No
101016,97,No
101017,100,No
101018,90,No
101019,100,No
101020,72,No
101021,100,No
101022,89,No
101023,97,No
101024,97,No
101025,88,Yes
101026,100,No
101027,92,No
101028,83,No
101029,95,No
101030,100,No
101031,100,No
101032,88,No
101033,100,No
101034,88,No
101035,75,No
101036,97,No
101037,75,No
101038,100,No
101039,85,No
101040,97,No
101041,100,No
101042,92,No
101043,99,No
101044,100,No
101045,95,No
101046,81,Yes
101047,95,No
101048,90,No
101049,94,No
101050,89,No
101051,70,No
101052,100,No
101053,92,No
101054,100,No
101055,91,No
101056,59,No
101057,70,No
101058,100,No
101059,94,No
101060,93,No
101061,80,No
101062,89,No
101063,98,No
101064,100,No
101065,72,No
101066,100,No
101067,100,No
101068,95,No
101069,100,No
101070,78,No
101071,86,No
101072,98,No
101073,69,No
101074,96,No
101075,100,No
101076,99,No
101077,53,Yes
101078,88,No
101079,56,No
101080,99,No
101081,98,No
101082,100,No
101083,94,No
101084,100,No
101085,82,No
101086,82,No
101087,82,No
101088,78,No
101089,100,No
101090,100,No
101091,100,No
101092,93,No
101093,67,No
101094,84,No
101095,98,No
101096,100,No
101097,99,No
101098,100,No
101099,82,No
101100,64,No
101101,100,No
101102,95,No
101103,100,No
101104,99,No
101105,100,No
101106,100,No
101107,100,No
101108,92,No
101109,89,No
101110,89,No
101111,95,No
101112,70,No
101113,86,No
101114,54,No
101115,99,No
101116,100,No
101117,85,No
101118,100,No
101119,94,No
101120,80,No
101121,79,No
101122,97,No
101123,71,No
101124,95,No
101125,100,No
101126,83,No
101127,83,No
101128,100,No
101129,60,No
101130,68,No
101131,94,No
101132,91,No
101133,82,No
101134,57,No
101135,75,No
101136,76,No
101137,93,No
101138,93,No
101139,80,No
101140,89,No
101141,96,No
101142,96,No
101143,47,No
101144,74,No
101145,96,No
101146,84,No
101147,100,No
101148,98,No
101149,65,No
101150,100,No
101151,96,No
101152,100,No
101153,90,No
101154,100,No
101155,97,No
101156,89,No
101157,88,No
101158,96,No
101159,94,No
101160,98,No
101161,92,No
101162,98,No
101163,79,No
101164,93,No
101165,67,No
101166,60,No
101167,72,No
101168,98,No
101169,85,No
101170,95,No
101171,70,No
101172,78,No
101173,52,No
101174,100,No
101175,100,No
101176,92,Yes
101177,75,No
101178,87,No
101179,85,No
101180,82,No
101181,63,No
101182,77,No
101183,77,No
101184,89,No
101185,86,No
101186,100,No
101187,98,No
101188,100,No
101189,59,No
101190,98,No
101191,83,No
101192,85,No
101193,88,No
101194,96,No
101195,78,No
101196,85,No
101197,96,No
101198,89,No
101199,77,No
101200,93,No
101201,94,No
101202,91,No
101203,61,No
101204,95,No
101205,100,No
101206,88,No
101207,86,No
101208,97,No
101209,95,Yes
101210,98,No
101211,100,No
101212,73,No
101213,81,No
101214,90,No
101215,65,No
101216,100,No
101217,95,No
101218,100,No
101219,80,No
101220,71,No
101221,78,No
101222,98,No
101223,78,No
101224,100,No
101225,100,No
101226,97,No
101227,79,No
101228,92,No
101229,82,No
101230,88,No
101231,92,No
101232,87,No
101233,100,No
101234,89,No
101235,96,No
101236,100,No
101237,100,No
101238,96,No
101239,81,No
101240,97,No
101241,79,No
101242,99,No
101243,100,No
101244,100,No
101245,89,No
101246,54,No
101247,75,No
101248,92,No
101249,99,No
101250,93,Yes
101251,91,No
101252,100,No
101253,83,No
101254,74,No
101255,74,No
101256,100,No
101257,97,No
101258,100,No
101259,78,No
101260,81,No
101261,92,No
101262,100,No
101263,83,No
101264,100,No
101265,93,No
101266,94,No
101267,73,No
101268,100,No
101269,73,No
101270,78,No
101271,90,No
101272,95,No
101273,100,No
101274,88,No
101275,100,No
101276,94,No
101277,60,No
101278,88,No
101279,100,No
101280,84,No
101281,90,No
101282,100,No
101283,89,No
101284,84,No
101285,83,No
101286,80,No
101287,99,No
101288,100,No
101289,68,No
101290,96,No
101291,95,No
101292,100,No
101293,76,No
101294,81,No
101295,100,No
101296,93,No
101297,83,No
101298,84,No
101299,80,No
101300,90,No
101301,90,No
101302,100,No
101303,81,No
101304,93,No
101305,57,No
101306,95,No
101307,79,No
101308,98,No
101309,87,No
101310,95,No
101311,98,No
101312,84,No
101313,100,No
101314,100,No
101315,87,No
101316,91,No
101317,79,No
101318,86,No
101319,98,No
101320,93,No
101321,74,No
101322,99,No
101323,97,No
101324,73,No
101325,88,No
101326,75,No
101327,92,No
101328,88,No
101329,95,No
101330,89,No
101331,100,No
101332,96,No
101333,94,No
101334,84,No
101335,100,No
101336,90,No
101337,78,No
101338,100,No
101339,96,No
101340,99,No
101341,72,No
101342,91,No
101343,83,No
101344,97,No
101345,78,No
101346,95,No
101347,95,No
101348,91,No
101349,96,No
101350,74,No
101351,81,No
101352,94,No
101353,72,No
101354,99,No
101355,100,No
101356,100,No
101357,100,No
101358,72,No
101359,86,No
101360,67,No
101361,94,No
101362,98,No
101363,77,No
101364,88,No
101365,81,No
101366,79,No
101367,94,No
101368,84,No
101369,79,No
101370,82,No
101371,100,No
101372,100,No
101373,88,No
101374,97,No
101375,76,No
101376,98,No
101377,100,No
101378,97,No
101379,100,No
101380,71,No
101381,78,No
101382,100,No
101383,100,No
101384,98,No
101385,100,No
101386,69,No
101387,85,No
101388,79,No
101389,98,No
101390,97,No
101391,95,No
101392,74,No
101393,92,No
101394,100,No
101395,94,No
101396,97,No
101397,81,No
101398,100,No
101399,94,No
101400,94,No
101401,78,No
101402,57,No
101403,68,No
101404,90,No
101405,56,No
101406,77,No
101407,93,No
101408,82,No
101409,100,No
101410,94,No
101411,65,No
101412,50,No
101413,65,No
101414,97,No
101415,72,No
101416,100,No
101417,96,No
101418,68,No
101419,86,No
101420,78,No
101421,94,No
101422,99,No
101423,71,No
101424,95,No
101425,81,No
101426,81,No
101427,93,No
101428,100,No
101429,75,No
101430,100,No
101431,62,No
101432,94,No
101433,88,No
101434,62,No
101435,92,No
101436,85,No
101437,85,No
101438,100,No
101439,100,No
101440,87,No
101441,91,No
101442,76,No
101443,91,No
101444,67,No
101445,87,No
101446,100,No
101447,61,Yes
101448,100,No
101449,68,No
101450,100,No
101451,100,No
101452,77,Yes
101453,89,No
101454,92,No
101455,100,No
101456,100,No
101457,90,No
101458,83,No
101459,98,No
101460,82,No
101461,67,No
101462,100,No
101463,83,Yes
101464,82,No
101465,100,No
101466,78,No
101467,63,No
101468,75,No
101469,83,No
101470,88,No
101471,93,No
101472,100,No
101473,94,No
101474,73,No
101475,100,No
101476,84,No
101477,86,No
101478,100,No
101479,100,No
101480,100,No
101481,91,No
101482,69,No
101483,59,No
101484,98,No
101485,72,No
101486,94,No
101487,93,No
101488,98,No
101489,77,Yes
101490,85,No
101491,100,No
101492,100,No
101493,100,No
101494,99,No
101495,78,No
101496,92,No
101497,91,No
101498,100,No
101499,100,No
101500,77,No
101501,100,No
101502,75,No
101503,77,No
101504,94,No
101505,96,No
101506,100,No
101507,100,No
101508,99,No
101509,84,No
101510,96,No
101511,100,No
101512,68,No
101513,81,No
101514,73,No
101515,97,No
101516,75,Yes
101517,94,No
101518,93,No
101519,74,No
101520,100,No
101521,84,No
101522,90,No
101523,71,No
101524,91,No
101525,87,No
101526,76,No
101527,87,No
101528,97,No
101529,69,No
101530,78,No
101531,79,No
101532,89,No
101533,78,No
101534,97,No
101535,62,No
101536,100,No
101537,77,No
101538,95,No
101539,89,No
101540,99,No
101541,100,No
101542,93,No
101543,100,No
101544,100,No
101545,58,No
101546,100,No
101547,100,No
101548,97,No
101549,100,No
101550,99,No
101551,86,No
101552,100,No
101553,63,No
101554,100,No
101555,73,No
101556,80,No
101557,100,No
101558,97,No
101559,69,No
101560,99,No
101561,97,No
101562,100,No
101563,96,No
101564,92,No
101565,86,No
101566,100,No
101567,100,No
101568,93,No
101569,100,No
101570,94,No
101571,100,No
101572,97,No
101573,94,No
101574,100,No
101575,100,Yes
101576,93,No
101577,99,No
101578,97,No
101579,91,No
101580,75,No
101581,98,No
101582,96,No
101583,100,No
101584,65,No
101585,100,No
101586,97,No
101587,86,No
101588,75,No
101589,72,No
101590,85,No
101591,68,No
101592,100,No
101593,77,No
101594,100,No
101595,95,No
101596,100,No
101597,78,No
101598,87,No
101599,81,No
101600,90,No
101601,94,No
101602,100,No
101603,91,No
101604,80,No
101605,60,No
101606,97,No
101607,97,No
101608,98,No
101609,100,No
101610,97,No
101611,95,No
101612,100,No
101613,96,No
101614,89,No
101615,98,No
101616,100,No
101617,72,No
101618,100,No
101619,100,No
101620,80,No
101621,100,No
101622,70,No
101623,100,No
101624,73,No
101625,96,No
101626,86,No
101627,65,No
101628,89,No
101629,71,No
101630,90,No
101631,100,No
101632,77,No
101633,100,No
101634,83,No
101635,96,No
101636,83,No
101637,80,No
101638,90,No
101639,73,No
101640,70,No
101641,75,No
101642,100,No
101643,100,No
101644,92,No
101645,100,Yes
101646,96,No
101647,95,No
101648,96,No
101649,92,No
101650,92,No
101651,98,No
101652,85,No
101653,76,No
101654,100,No
101655,98,No
101656,79,No
101657,95,No
101658,100,No
101659,100,No
101660,67,No
101661,66,No
101662,100,No
101663,100,No
101664,93,No
101665,78,No
101666,88,No
101667,90,No
101668,87,No
101669,100,No
101670,90,No
101671,67,No
101672,87,No
101673,100,No
101674,91,No
101675,100,No
101676,65,No
101677,100,No
101678,97,No
101679,100,No
101680,81,Yes
101681,80,No
101682,100,No
101683,70,No
101684,100,No
101685,100,No
101686,95,No
101687,83,No
101688,97,No
101689,100,No
101690,100,No
101691,95,No
101692,100,No
101693,93,No
101694,100,No
101695,86,No
101696,75,No
101697,83,No
101698,100,No
101699,100,No
101700,92,No
101701,100,No
101702,86,No
101703,100,No
101704,93,No
101705,100,No
101706,98,No
101707,93,No
101708,74,No
101709,100,No
101710,100,No
101711,96,No
101712,98,No
101713,100,No
101714,100,No
101715,71,No
101716,75,No
101717,97,No
101718,100,No
101719,98,No
101720,100,No
101721,98,No
101722,75,No
101723,100,No
101724,92,No
101725,79,No
101726,99,No
101727,96,No
101728,82,No
101729,100,No
101730,76,No
101731,87,No
101732,93,No
101733,87,No
101734,98,No
101735,100,No
101736,100,No
101737,100,No
101738,100,No
101739,78,No
101740,100,No
101741,92,No
101742,58,No
101743,100,No
101744,67,No
101745,100,No
101746,100,No
101747,96,No
101748,87,No
101749,60,No
101750,98,No
101751,59,No
101752,100,No
101753,79,No
101754,70,No
101755,100,No
101756,100,No
101757,96,No
101758,98,No
101759,84,No
101760,100,No
101761,98,No
101762,89,No
101763,61,No
101764,77,No
101765,72,No
101766,100,No
101767,82,No
101768,100,No
101769,98,No
101770,71,No
101771,100,No
101772,92,No
101773,100,No
101774,99,No
101775,77,No
101776,99,No
101777,98,No
101778,68,No
101779,98,No
101780,98,No
101781,89,No
101782,94,No
101783,99,No
101784,80,Yes
101785,83,No
101786,82,No
101787,87,No
101788,100,No
101789,97,No
101790,74,No
101791,100,No
101792,85,No
101793,80,No
101794,71,No
101795,55,No
101796,88,No
101797,90,No
101798,87,No
101799,99,No
101800,90,No
101801,64,No
101802,74,No
101803,100,No
101804,86,No
101805,93,No
101806,99,No
101807,100,No
101808,100,No
101809,100,No
101810,96,No
101811,74,No
101812,79,No
101813,79,No
101814,97,No
101815,100,Yes
101816,93,No
101817,94,No
101818,75,No
101819,100,No
101820,100,No
101821,86,No
101822,94,No
101823,100,No
101824,65,No
101825,63,No
101826,97,No
101827,92,No
101828,100,No
101829,100,No
101830,96,No
101831,68,No
101832,100,No
101833,100,No
101834,95,No
101835,97,No
101836,88,No
101837,93,No
101838,94,No
101839,68,No
101840,91,No
101841,97,No
101842,94,No
101843,100,No
101844,99,No
101845,99,No
101846,83,No
101847,93,No
101848,80,No
101849,93,No
101850,99,No
101851,96,No
101852,96,No
101853,95,No
101854,98,No
101855,73,No
101856,70,No
101857,100,No
101858,99,No
101859,100,No
101860,76,No
101861,100,No
101862,80,No
101863,83,No
101864,99,No
101865,100,No
101866,96,No
101867,90,No
101868,99,No
101869,69,No
101870,95,No
101871,100,No
101872,100,No
101873,100,No
101874,88,No
101875,100,No
101876,92,No
101877,74,No
101878,79,No
101879,99,No
101880,93,No
101881,98,No
101882,90,No
101883,94,No
101884,97,No
101885,88,No
101886,100,No
101887,84,No
101888,100,No
101889,100,No
101890,72,No
101891,71,No
101892,78,No
101893,88,No
101894,80,No
101895,85,No
101896,71,No
101897,78,No
101898,87,No
101899,88,No
101900,87,No
101901,99,No
101902,97,No
101903,82,No
101904,96,Yes
101905,89,No
101906,98,No
101907,98,No
101908,100,No
101909,99,Yes
101910,96,No
101911,69,No
101912,96,No
101913,83,No
101914,59,No
101915,80,No
101916,99,No
101917,86,No
101918,82,No
101919,100,No
101920,64,No
101921,69,No
101922,96,No
101923,99,No
101924,100,No
101925,97,No
101926,77,No
101927,96,No
101928,78,No
101929,98,No
101930,98,No
101931,74,No
101932,77,No
101933,71,No
101934,68,No
101935,74,No
101936,100,No
101937,83,No
101938,99,No
101939,78,No
101940,93,No
101941,96,No
101942,97,No
101943,100,No
101944,100,No
101945,89,No
101946,91,No
101947,93,No
101948,90,No
101949,100,No
101950,70,No
101951,100,No
101952,73,No
101953,85,No
101954,100,No
101955,99,No
101956,54,No
101957,69,No
101958,96,No
101959,94,No
101960,77,No
101961,98,No
101962,83,No
101963,92,No
101964,94,Yes
101965,64,No
101966,100,No
101967,82,No
101968,100,No
101969,87,No
101970,74,No
101971,79,No
101972,100,No
101973,100,No
101974,99,No
101975,78,No
101976,97,No
101977,79,No
101978,80,No
101979,88,No
101980,99,No
101981,92,No
101982,90,No
